soil_type,pH,nitrogen,phosphorus,potassium,organic_carbon,ec,rainfall,temperature,plant
Sandy,7.1,675,36,331,0.9,2.75,983.09,25.87,Neem
Sandy,7.56,461,45,110,0.35,2.59,982.68,30.95,Neem
Sandy,6.98,341,48,370,0.93,2.29,758.65,28.99,Neem
Sandy,6.77,231,17,162,0.83,1.16,730.6,31.98,Neem
Loamy,7.08,144,18,199,0.81,1.33,693.66,34.12,Neem
Sandy,7.3,484,7,208,0.99,2.92,814.25,27.01,Neem
Sandy,6.93,145,19,189,0.53,2.2,810.21,29.08,Neem
Sandy,7.57,602,12,240,0.55,1.0,697.01,37.8,Neem
Sandy,6.76,293,36,53,0.99,0.42,673.63,30.8,Neem
Loamy,7.21,302,20,380,0.98,3.2,886.39,30.14,Neem
Sandy,7.12,399,56,217,0.93,1.36,765.09,32.2,Neem
Loamy,6.45,698,6,172,0.64,0.58,986.01,26.16,Neem
Sandy,6.41,533,37,58,0.68,0.22,865.49,30.23,Neem
Loamy,7.76,183,14,380,0.94,3.26,775.33,32.75,Neem
Loamy,6.93,139,38,278,0.44,2.65,794.25,33.83,Neem
Loamy,7.2,381,54,220,0.41,1.35,681.07,32.7,Neem
Sandy,7.31,429,29,80,0.51,1.94,748.54,25.93,Neem
Loamy,6.83,641,43,145,1.16,0.55,980.66,34.13,Neem
Loamy,7.52,511,31,277,0.74,0.9,851.55,28.92,Neem
Sandy,6.81,160,43,80,0.39,2.35,818.15,27.39,Neem
Loamy,7.13,197,48,187,1.03,2.07,675.94,24.46,Neem
Sandy,6.75,199,48,184,0.33,0.93,933.92,25.65,Neem
Loamy,7.47,389,59,183,0.72,1.45,786.15,31.48,Neem
Sandy,7.33,572,58,250,0.5,2.68,491.87,32.04,Neem
Loamy,7.25,391,27,239,1.14,3.38,805.12,34.69,Neem
Sandy,7.06,540,27,62,0.8,3.4,745.06,30.66,Neem
Sandy,7.98,585,25,110,0.64,2.63,815.53,26.74,Neem
Loamy,7.19,378,12,305,0.41,0.52,630.09,32.35,Neem
Sandy,6.84,344,46,237,0.85,2.47,689.34,29.81,Neem
Loamy,6.62,429,37,361,1.18,1.37,718.28,35.58,Neem
Loamy,7.77,317,22,142,0.47,2.84,821.21,28.13,Neem
Loamy,7.39,626,41,196,0.96,0.78,668.69,36.74,Neem
Sandy,7.24,390,32,83,0.49,2.77,705.53,23.67,Neem
Sandy,7.89,500,27,297,0.32,2.5,762.45,33.87,Neem
Sandy,6.67,121,36,266,0.48,1.36,597.29,32.43,Neem
Sandy,6.84,602,54,281,0.53,2.84,698.3,32.52,Neem
Loamy,7.2,576,59,385,1.16,1.11,777.26,40.09,Neem
Loamy,7.29,698,8,316,0.9,0.69,1033.67,27.93,Neem
Sandy,7.37,675,27,84,0.6,1.22,520.97,28.56,Neem
Loamy,7.66,546,28,296,1.19,3.48,980.71,31.43,Neem
Sandy,7.67,104,38,86,0.42,0.14,910.91,32.01,Neem
Loamy,7.04,390,55,121,1.11,3.1,838.81,30.11,Neem
Loamy,7.02,297,47,54,0.4,3.04,720.81,32.94,Neem
Loamy,7.11,580,20,105,0.88,0.9,835.16,35.45,Neem
Sandy,8.04,238,27,326,1.03,3.36,770.31,30.74,Neem
Sandy,6.96,361,55,245,0.39,2.12,832.04,35.78,Neem
Loamy,7.81,617,24,240,0.86,1.04,720.36,26.04,Neem
Loamy,7.09,400,57,375,1.17,1.77,689.32,33.97,Neem
Sandy,7.22,287,29,168,0.38,0.97,887.79,26.16,Neem
Loamy,7.31,498,36,64,1.11,0.6,845.12,24.44,Neem
Loamy,7.55,578,22,112,1.08,1.33,939.14,26.29,Neem
Sandy,6.48,369,33,128,0.47,3.04,770.97,24.37,Neem
Sandy,7.35,499,15,72,0.7,1.68,946.07,29.77,Neem
Loamy,7.59,435,44,322,0.9,2.2,941.71,27.86,Neem
Sandy,8.63,201,51,274,1.15,1.51,733.61,28.34,Neem
Sandy,6.14,279,46,349,1.12,0.35,721.45,32.18,Neem
Sandy,6.49,387,50,81,1.06,2.9,756.27,28.05,Neem
Loamy,7.4,255,44,288,1.04,2.68,786.81,22.92,Neem
Sandy,6.99,586,33,326,0.51,2.33,791.98,28.23,Neem
Loamy,7.49,341,59,77,0.64,2.59,794.77,24.92,Neem
Sandy,7.6,158,47,100,0.72,2.28,721.31,31.41,Neem
Loamy,7.38,387,16,110,0.58,1.77,749.3,30.42,Neem
Sandy,7.54,251,53,89,1.16,0.76,702.39,30.83,Neem
Loamy,6.72,441,10,204,0.99,0.14,956.9,27.25,Neem
Loamy,7.14,180,16,319,1.0,2.41,828.86,29.49,Neem
Loamy,7.88,190,46,111,0.74,2.49,685.11,32.57,Neem
Sandy,8.0,662,18,352,0.99,0.13,927.44,32.62,Neem
Sandy,7.49,267,7,261,0.97,0.15,843.83,29.29,Neem
Sandy,8.02,313,15,390,0.95,2.32,938.06,28.29,Neem
Sandy,7.22,624,13,117,0.59,2.21,842.88,32.41,Neem
Loamy,6.95,519,30,316,0.7,1.11,802.19,28.08,Neem
Loamy,7.57,449,31,252,1.16,0.47,575.43,34.1,Neem
Loamy,7.46,376,22,205,0.73,1.48,791.49,24.93,Neem
Sandy,7.53,573,32,270,0.8,3.38,561.71,32.31,Neem
Loamy,6.8,596,31,316,1.17,2.99,662.68,30.65,Neem
Loamy,7.21,188,12,165,0.81,2.21,903.65,25.8,Neem
Sandy,6.95,593,47,73,1.04,2.94,929.85,26.84,Neem
Sandy,6.88,614,52,186,1.06,3.41,834.84,35.17,Neem
Sandy,6.78,273,49,209,0.69,2.46,731.87,25.44,Neem
Sandy,7.31,451,28,255,0.63,1.93,773.6,33.08,Neem
Sandy,7.24,149,54,279,0.36,0.9,953.09,35.65,Neem
Loamy,6.62,694,23,381,0.36,2.12,629.71,32.19,Neem
Loamy,6.68,616,36,176,0.67,0.88,749.16,31.11,Neem
Sandy,7.29,575,28,234,0.61,3.45,813.42,34.85,Neem
Sandy,7.53,521,47,303,0.51,2.21,752.56,29.25,Neem
